delivery_id,delivery_order_id,driver_id,delivery_distance_meters,delivery_status
2174862,68426619,10259,923,DELIVERED
2174864,68424858,25651,3617,DELIVERED
2174865,68426187,25651,1299,DELIVERED
2174866,68426421,358,4992,DELIVERED
2174867,68426427,25651,2591,DELIVERED
2174876,68430224,3834,519,DELIVERED
2174878,68429364,512,2202,DELIVERED
2174880,68429550,8266,3659,DELIVERED
2174882,68428396,10614,3073,DELIVERED
2174883,68427057,,2995,CANCELLED
2174884,68428503,29378,1341,DELIVERED
2174888,68426471,357,3659,DELIVERED
2174890,68429631,13043,1628,DELIVERED
2174891,68426696,1113,1658,DELIVERED
2174892,68427588,5623,949,DELIVERED
2174893,68424660,24571,2284,DELIVERED
2174897,68430182,11466,4517,DELIVERED
2174898,68427057,1113,2995,DELIVERED
2174900,68430452,17477,1333,DELIVERED
2174901,68430526,9509,93,DELIVERED
2174903,68420776,26879,825,DELIVERED
2174904,68428457,357,395,DELIVERED
2174905,68430552,23093,726,DELIVERED
2174906,68434112,22260,1420,DELIVERED
2174910,68430487,6161,3976,DELIVERED
2174911,68429530,25651,251,DELIVERED
2174912,68415543,14511,4144,DELIVERED
2174913,68429881,5628,1387,DELIVERED
2174917,68421071,10514,4564,DELIVERED
2174918,68426262,7396,416,DELIVERED
2174919,68431089,25651,2406,DELIVERED
2174921,68432363,25651,4504,DELIVERED
2174923,68432907,25651,2549,DELIVERED
2174926,68426299,6361,4135,DELIVERED
2174933,68431651,25798,2027,DELIVERED
2174935,68428566,5628,1894,DELIVERED
2174938,68430392,9828,4699,DELIVERED
2174939,68432364,17227,4918,DELIVERED
2174940,68432360,5128,2430,DELIVERED
2174942,68424547,14382,2100,DELIVERED
2174943,68432455,2945,1859,DELIVERED
2174944,68426996,14382,2582,DELIVERED
2174947,68434362,25409,3703,DELIVERED
2174948,68430527,5250,1028,DELIVERED
2174949,68427326,14382,2849,DELIVERED
2174956,68427637,25651,2529,DELIVERED
2174957,68430280,358,3283,DELIVERED
2174959,68430788,425,1610,DELIVERED
2174961,68432554,888,5390,DELIVERED
2174963,68431672,26075,2417,DELIVERED
2174966,68434509,10560,2147,DELIVERED
2174970,68424858,16430,3617,DELIVERED
2174971,68429064,28171,788,DELIVERED
2174973,68431673,30030,2797,DELIVERED
2174976,68432184,12136,1944,DELIVERED
2174977,68429311,26588,1168,DELIVERED
2174981,68432823,26052,1239,DELIVERED
2174985,68433418,6662,2068,DELIVERED
2174990,68432080,14702,4112,DELIVERED
2174991,68429379,25651,1458,DELIVERED
2174992,68431370,25651,987,DELIVERED
2174998,68434135,9509,2539,DELIVERED
2174999,68432456,13043,2565,DELIVERED
2175003,68431111,13527,763,DELIVERED
2175006,68424238,8378,5389,DELIVERED
2175008,68432272,8958,3791,DELIVERED
2175018,68432349,6656,1769,DELIVERED
2175022,68434121,174,286,DELIVERED
2175025,68434442,4190,1460,DELIVERED
2175028,68434852,15561,2642,DELIVERED
2175030,68422281,9996,3667,DELIVERED
2175032,68435114,7615,147,DELIVERED
2175033,68425821,4190,3498,DELIVERED
2175035,68435227,2061,1935,DELIVERED
2175036,68432363,4190,4504,DELIVERED
2175041,68434341,28169,3778,DELIVERED
2175042,68432907,4190,2549,DELIVERED
2175043,68432509,510,3722,DELIVERED
2175044,68434497,28072,843,DELIVERED
2175046,68435678,,3958,CANCELLED
2175050,68435369,13527,711,DELIVERED
2175061,68433613,6161,1853,DELIVERED
2175066,68436531,4190,793,DELIVERED
2175067,68429213,15061,2975,DELIVERED
2175073,68423110,26879,2625,DELIVERED
2175075,68437283,726,1183,DELIVERED
2175078,68436387,7638,538,DELIVERED
2175079,68436230,731,1689,DELIVERED
2175080,68421917,22901,4283,DELIVERED
2175083,68436740,14059,907,DELIVERED
2175085,68427637,25651,2529,DELIVERED
2175086,68436552,2837,5303,DELIVERED
2175088,68435318,5623,2483,DELIVERED
2175092,68431370,25651,987,DELIVERED
2175093,68426427,9996,2591,DELIVERED
2175094,68434118,358,5500,DELIVERED
2175096,68432345,29077,3299,DELIVERED
2175097,68438409,28169,2217,DELIVERED
2175098,68432718,29077,1947,DELIVERED
2175099,68429127,19793,5775,DELIVERED
2175102,68431113,14621,764,DELIVERED
2175104,68437365,15661,3311,DELIVERED
2175109,68426187,9996,1299,DELIVERED
2175110,68437660,13117,1746,DELIVERED
2175112,68436696,5628,1619,DELIVERED
2175113,68435423,1113,918,DELIVERED
2175115,68437931,1405,2582,DELIVERED
2175117,68432421,15375,709,DELIVERED
2175119,68437768,10200,2921,DELIVERED
2175121,68438108,24715,2162,DELIVERED
2175122,68436742,29557,1543,DELIVERED
2175125,68437407,731,1644,DELIVERED
2175129,68437205,430,1186,DELIVERED
2175130,68436424,1113,3580,DELIVERED
2175132,68437859,25409,3364,DELIVERED
2175133,68437524,26075,1640,DELIVERED
2175134,68435251,1113,1207,DELIVERED
2175135,68436527,17322,742,DELIVERED
2175138,68433359,11263,378,DELIVERED
2175142,68432271,9025,1560,DELIVERED
2175143,68436885,26442,1014,DELIVERED
2175147,68437922,25651,5460,DELIVERED
2175149,68424216,17322,1452,DELIVERED
2175155,68437454,15834,6043,DELIVERED
2175159,68436739,23399,3689,DELIVERED
2175162,68438068,27294,2388,DELIVERED
2175165,68441676,5250,836,DELIVERED
2175168,68429379,25651,1458,DELIVERED
2175170,68437453,11615,3426,DELIVERED
2175173,68436652,23784,3198,DELIVERED
2175177,68425058,17322,1488,DELIVERED
2175179,68434849,26237,5250,DELIVERED
2175183,68440439,21454,3167,DELIVERED
2175185,68440579,21454,1806,DELIVERED
2175186,68438540,6161,4020,DELIVERED
2175189,68438889,6656,197,DELIVERED
2175193,68441235,4937,6214,DELIVERED
2175197,68439472,7767,5587,DELIVERED
2175201,68441631,21923,4104,DELIVERED
2175203,68436272,24584,1265,DELIVERED
2175206,68439210,5315,963,DELIVERED
2175207,68429530,7953,251,DELIVERED
2175210,68432367,14382,2363,DELIVERED
2175218,68441035,5128,2704,DELIVERED
2175220,68433064,14382,2624,DELIVERED
2175221,68431089,14382,2406,DELIVERED
2175222,68441870,5052,4346,DELIVERED
2175226,68440068,29966,3527,DELIVERED
2175228,68440577,30574,1216,DELIVERED
2175230,68438654,14666,1951,DELIVERED
2175232,68435117,10514,3101,DELIVERED
2175234,68435186,25689,4504,DELIVERED
2175236,68440673,2490,2477,DELIVERED
2175240,68443463,30574,340,DELIVERED
2175241,68435750,22198,747,DELIVERED
2175242,68435581,11466,3486,DELIVERED
2175244,68441526,319,2107,DELIVERED
2175245,68439642,15898,4573,DELIVERED
2175246,68442959,14702,2111,DELIVERED
2175251,68441630,20495,3736,DELIVERED
2175253,68438109,6165,1661,DELIVERED
2175263,68440320,29271,3480,DELIVERED
2175267,68441760,,1912,DELIVERED
2175268,68432184,12136,1944,DELIVERED
2175269,68439699,30574,1526,DELIVERED
2175274,68442124,30030,1407,DELIVERED
2175275,68444038,16430,1956,DELIVERED
2175277,68441428,13043,4988,DELIVERED
2175278,68441781,30030,676,DELIVERED
2175279,68441081,31132,4923,DELIVERED
2175281,68444687,3834,1714,DELIVERED
2175283,68442828,16496,1809,DELIVERED
2175286,68427968,25651,2541,DELIVERED
2175289,68442501,30854,2357,DELIVERED
2175290,68434998,17907,3054,DELIVERED
2175291,68444111,17477,2491,DELIVERED
2175293,68426996,14382,2582,DELIVERED
2175294,68442954,14513,3610,DELIVERED
2175296,68433305,15061,2463,DELIVERED
2175298,68427326,14382,2849,DELIVERED
2175302,68423436,8378,5052,DELIVERED
2175310,68442202,2061,1605,DELIVERED
2175312,68443528,23092,1766,DELIVERED
2175321,68440697,510,1110,DELIVERED
2175322,68417787,26879,2122,DELIVERED
2175326,68446409,9509,3846,DELIVERED
2175333,68445702,2945,1275,DELIVERED
2175337,68441807,28072,893,DELIVERED
2175339,68446266,9043,459,DELIVERED
2175341,68444148,14617,107,DELIVERED
2175345,68444436,888,4609,DELIVERED
2175346,68442941,2355,1399,DELIVERED
2175351,68446071,731,5354,DELIVERED
2175353,68448156,25409,2535,DELIVERED
2175355,68446946,5402,1135,DELIVERED
2175358,68447423,8266,2825,DELIVERED
2175365,68449298,25575,4255,DELIVERED
2175367,68441076,13117,2392,DELIVERED
2175370,68437423,28169,5066,DELIVERED
2175371,68445065,14511,1157,DELIVERED
2175374,68450634,13527,1523,DELIVERED
2175378,68448397,22499,522,DELIVERED
2175381,68447904,17749,3023,DELIVERED
2175382,68448694,12893,3774,DELIVERED
2175389,68447028,29451,2510,DELIVERED
2175392,68432718,29077,1947,DELIVERED
2175398,68447692,9828,734,DELIVERED
2175400,68444599,25651,4024,DELIVERED
2175402,68446350,21454,2046,DELIVERED
2175403,68448064,26075,1641,DELIVERED
2175404,68448661,21454,2079,DELIVERED
2175406,68443456,9600,692,DELIVERED
2175408,68447320,425,388,DELIVERED
2175416,68448484,30550,2632,DELIVERED
2175419,68449304,28171,516,DELIVERED
2175421,68447989,10200,3448,DELIVERED
2175422,68444862,5315,843,DELIVERED
2175423,68449165,7953,222,DELIVERED
2175425,68440275,7953,2839,DELIVERED
2175429,68438460,7953,2270,DELIVERED
2175431,68448704,7953,1365,DELIVERED
2175432,68427968,25651,2541,DELIVERED
2175433,68451967,430,843,DELIVERED
2175438,68438647,7953,2104,DELIVERED
2175439,68451358,6361,4184,DELIVERED
2175444,68453262,24997,1541,DELIVERED
2175445,68449192,17322,3130,DELIVERED
2175450,68445497,10832,207,DELIVERED
2175451,68448347,17322,3176,DELIVERED
2175454,68451076,23399,2112,DELIVERED
2175455,68449372,23399,2934,DELIVERED
2175458,68449164,6662,1757,DELIVERED
2175463,68431672,6161,2417,DELIVERED
2175465,68451887,20223,2444,DELIVERED
2175466,68451777,28165,2702,DELIVERED
2175467,68452175,1395,2051,DELIVERED
2175468,68437922,,5460,CANCELLED
2175469,68452051,9211,1270,DELIVERED
2175473,68448483,29077,3811,DELIVERED
2175476,68452052,726,335,DELIVERED
2175477,68451584,26442,3533,DELIVERED
2175480,68448693,512,3287,DELIVERED
2175483,68445800,22499,1447,DELIVERED
2175485,68444850,1113,451,DELIVERED
2175489,68457422,,530,CANCELLED
2175492,68451036,16496,3525,DELIVERED
2175494,68437451,19793,3051,DELIVERED
2175496,68441965,26785,3262,DELIVERED
2175499,68452246,8266,3099,DELIVERED
2175501,68453305,26588,1431,DELIVERED
2175504,68451149,5250,995,DELIVERED
2175505,68438198,9025,5460,DELIVERED
2175515,68449555,15898,5765,DELIVERED
2175518,68452054,5052,4617,DELIVERED
2175520,68452425,9043,2944,DELIVERED
2175523,68454481,7396,2040,DELIVERED
2175524,68451743,27700,383,DELIVERED
2175526,68453108,2473,288,DELIVERED
2175533,68452479,6675,759,DELIVERED
2175537,68455763,25651,2849,DELIVERED
2175540,68454488,25651,3771,DELIVERED
2175546,68454369,25588,1309,DELIVERED
2175547,68449158,6161,447,DELIVERED
2175550,68451632,888,1748,DELIVERED
2175551,68452451,11887,4471,DELIVERED
2175552,68451258,25651,4696,DELIVERED
2175553,68452508,26251,1637,DELIVERED
2175555,68451258,731,4696,DELIVERED
2175556,68453186,7995,676,DELIVERED
2175557,68454307,5628,2743,DELIVERED
2175559,68439120,10514,5987,DELIVERED
2175561,68454767,8958,1498,DELIVERED
2175562,68460384,,5574,CANCELLED
2175565,68455169,8940,2276,DELIVERED
2175566,68455272,10259,802,DELIVERED
2175568,68454205,17227,4011,DELIVERED
2175569,68453598,7638,2423,DELIVERED
2175570,68455270,9828,4168,DELIVERED
2175571,68453999,30030,691,DELIVERED
2175573,68452247,21454,1847,DELIVERED
2175575,68456344,31061,3944,DELIVERED
2175576,68457787,12023,339,DELIVERED
2175578,68452050,888,1615,DELIVERED
2175579,68456347,25409,2535,DELIVERED
2175582,68454768,15661,926,DELIVERED
2175584,68456909,10560,1666,DELIVERED
2175585,68457267,7280,487,DELIVERED
2175587,68456156,13117,1461,DELIVERED
2175588,68457154,5435,4145,DELIVERED
2175600,68460544,,2769,CANCELLED
2175612,68457393,938,627,DELIVERED
2175614,68456004,4190,2514,DELIVERED
2175615,68453961,4190,2514,DELIVERED
2175616,68458284,2905,1199,DELIVERED
2175617,68458710,31126,2006,DELIVERED
2175619,68457717,20495,5703,DELIVERED
2175627,68457114,1395,5657,DELIVERED
2175629,68458664,22260,1023,DELIVERED
2175630,68457722,2945,2024,DELIVERED
2175635,68456331,14382,697,DELIVERED
2175636,68457718,8378,3249,DELIVERED
2175638,68449165,7953,222,DELIVERED
2175640,68457071,8378,3693,DELIVERED
2175641,68458232,14382,1304,DELIVERED
2175643,68463805,,694,CANCELLED
2175644,68460440,31126,2264,DELIVERED
2175648,68427630,25651,818,DELIVERED
2175651,68432345,29077,3299,DELIVERED
2175653,68463202,9996,428,DELIVERED
2175655,68459220,29378,1626,DELIVERED
2175657,68451894,4977,466,DELIVERED
2175659,68452454,4977,153,DELIVERED
2175660,68461058,25651,4555,DELIVERED
2175661,68458971,4937,2042,DELIVERED
2175663,68461936,6165,1523,DELIVERED
2175667,68459049,12731,2452,DELIVERED
2175669,68457214,512,1114,DELIVERED
2175672,68461139,15561,2636,DELIVERED
2175676,68459982,5128,3126,DELIVERED
2175678,68450493,319,2146,DELIVERED
2175681,68441731,22901,4127,DELIVERED
2175683,68456270,3834,1076,DELIVERED
2175690,68441810,11263,4537,DELIVERED
2175693,68458833,26879,4499,DELIVERED
2175694,68462324,24584,2324,DELIVERED
2175695,68459178,22115,3300,DELIVERED
2175696,68460164,6161,1975,DELIVERED
2175697,68459306,510,1956,DELIVERED
2175698,68442190,24571,709,DELIVERED
2175699,68444027,24571,1455,DELIVERED
2175702,68463903,5226,1626,DELIVERED
2175703,68462845,29979,1826,DELIVERED
2175705,68461058,21454,4555,DELIVERED
2175706,68464727,28169,3514,DELIVERED
2175707,68462325,6656,2969,DELIVERED
2175708,68449158,21454,447,DELIVERED
2175715,68463065,25651,3121,DELIVERED
2175716,68462758,358,1837,DELIVERED
2175719,68462093,10514,729,DELIVERED
2175722,68463612,29979,4336,DELIVERED
2175724,68460539,30854,2315,DELIVERED
2175725,68453149,7615,2553,DELIVERED
2175726,68451505,10514,3733,DELIVERED
2175729,68464492,14702,4753,DELIVERED
2175730,68462267,17289,4830,DELIVERED
2175735,68461581,17322,1489,DELIVERED
2175736,68463631,28165,2625,DELIVERED
2175737,68463388,17749,5337,DELIVERED
2175738,68460223,17322,653,DELIVERED
2175739,68463752,10200,2954,DELIVERED
2175740,68464135,16430,3560,DELIVERED
2175742,68461688,6662,4931,DELIVERED
2175743,68461493,25651,4793,DELIVERED
2175744,68464454,13111,671,DELIVERED
2175745,68464418,7655,2608,DELIVERED
2175747,68464303,5052,3313,DELIVERED
2175748,68464417,7995,2826,DELIVERED
2175749,68464304,29077,1107,DELIVERED
2175751,68463108,28913,2856,DELIVERED
2175753,68464981,17227,2556,DELIVERED
2175754,68459647,29669,5837,DELIVERED
2175756,68464650,425,1780,DELIVERED
2175767,68463109,25689,1728,DELIVERED
2175770,68465692,5623,248,DELIVERED
2175771,68462846,5435,4273,DELIVERED
2175773,68465908,26319,4165,DELIVERED
2175776,68445199,,4234,CANCELLED
2175782,68462133,12136,1426,DELIVERED
2175784,68464984,25651,1066,DELIVERED
2175785,68465031,25651,1680,DELIVERED
2175787,68465137,25651,1555,DELIVERED
2175788,68466804,25651,2261,DELIVERED
2175791,68467601,25651,1970,DELIVERED
2175792,68450871,9025,1702,DELIVERED
2175795,68465139,12893,4872,DELIVERED
2175797,68464416,10614,4767,DELIVERED
2175799,68462102,11887,1680,DELIVERED
2175802,68462099,1113,896,DELIVERED
2175804,68464570,26251,1292,DELIVERED
2175805,68462314,1113,1747,DELIVERED
2175806,68465084,12077,600,DELIVERED
2175808,68464806,888,4406,DELIVERED
2175809,68465604,26075,4691,DELIVERED
2175810,68465593,25798,1578,DELIVERED
2175811,68465722,24997,1713,DELIVERED
2175813,68454552,2355,638,DELIVERED
2175814,68463612,6161,4336,DELIVERED
2175815,68467005,18862,1491,DELIVERED
2175816,68463387,22260,1276,DELIVERED
2175817,68463992,25651,227,DELIVERED
2175820,68466202,1405,699,DELIVERED
2175821,68466984,8266,5082,DELIVERED
2175822,68449067,24571,4262,DELIVERED
2175825,68467361,5628,3651,DELIVERED
2175826,68449782,15375,3387,DELIVERED
2175827,68465626,1395,1965,DELIVERED
2175830,68467597,25409,1667,DELIVERED
2175832,68467605,6974,2743,DELIVERED
2175835,68462949,22115,1959,DELIVERED
2175840,68467594,8266,3877,DELIVERED
2175841,68466754,9828,5508,DELIVERED
2175842,68465368,30030,1391,DELIVERED
2175848,68446638,,5133,DELIVERED
2175854,68440751,,1031,DELIVERED
2175857,68469540,6974,1754,DELIVERED
2175858,68442223,,3776,DELIVERED
2175859,68468306,731,5303,DELIVERED
2175861,68466108,24830,288,DELIVERED
2175862,68467656,358,1011,DELIVERED
2175867,68466707,9996,2207,DELIVERED
2175869,68466880,13527,1679,DELIVERED
2175870,68469643,29186,1038,DELIVERED
2175871,68464953,13527,6095,DELIVERED
2175880,68464554,2490,3952,DELIVERED
2175881,68470961,15834,1836,DELIVERED
2175883,68444599,,4024,DELIVERED
2175885,68465968,4190,2958,DELIVERED
2175887,68465795,4977,383,DELIVERED
2175889,68470483,28171,1811,DELIVERED
2175890,68468998,13527,2235,DELIVERED
2175891,68465683,4190,3169,DELIVERED
2175892,68469266,24715,1827,DELIVERED
2175893,68468914,28913,4441,DELIVERED
2175900,68469494,23093,970,DELIVERED
2175906,68452447,14757,4864,DELIVERED
2175907,68463992,25651,227,DELIVERED
2175909,68469930,22260,997,DELIVERED
2175910,68470448,22260,467,DELIVERED
2175911,68466335,31061,2556,DELIVERED
2175916,68468560,11887,1874,DELIVERED
2175917,68470384,512,1559,DELIVERED
2175920,68471231,726,1555,DELIVERED
2175922,68471499,25651,3585,DELIVERED
2175923,68471643,15061,3202,DELIVERED
2175925,68469541,28165,3306,DELIVERED
2175930,68470436,28165,4699,DELIVERED
2175932,68452361,11263,1867,DELIVERED
2175933,68472836,25651,1627,DELIVERED
2175936,68470373,25651,441,DELIVERED
2175937,68471507,25651,1959,DELIVERED
2175940,68473404,25651,2935,DELIVERED
2175946,68455353,7615,2511,DELIVERED
2175954,68472317,17227,2444,DELIVERED
2175957,68475205,,2135,CANCELLED
2175961,68462957,16430,4948,DELIVERED
2175965,68453600,,4808,CANCELLED
2175966,68473759,8266,2878,DELIVERED
2175971,68474769,14511,5287,DELIVERED
2175972,68471753,888,1485,DELIVERED
2175977,68456996,19793,5223,DELIVERED
2175979,68445893,11263,2467,DELIVERED
2175981,68474212,26879,5781,DELIVERED
2175986,68475170,30244,4916,DELIVERED
2175987,68470461,25409,2659,DELIVERED
2175989,68472872,5435,1694,DELIVERED
2175992,68474758,30879,1136,DELIVERED
2175994,68473268,357,1780,DELIVERED
2175996,68474116,23399,698,DELIVERED
2176001,68474446,14702,2074,DELIVERED
2176003,68471499,29979,3585,DELIVERED
2176004,68465604,6161,4691,DELIVERED
2176005,68473404,14382,2935,DELIVERED
2176008,68470373,14382,441,DELIVERED
2176009,68475894,13117,1487,DELIVERED
2176011,68475728,358,2111,DELIVERED
2176012,68464806,731,4406,DELIVERED
2176016,68451258,731,4696,DELIVERED
2176018,68460376,12731,709,DELIVERED
2176019,68475584,319,2215,DELIVERED
2176020,68461568,15375,2884,DELIVERED
2176021,68457470,4977,1058,DELIVERED
2176022,68471508,11887,2489,DELIVERED
2176028,68475990,9025,3740,DELIVERED
2176030,68479324,3478,367,DELIVERED
2176031,68478614,7953,441,DELIVERED
2176032,68472836,7953,1627,DELIVERED
2176037,68480124,2490,2135,DELIVERED
2176038,68471180,7953,1305,DELIVERED
2176039,68477257,1395,420,DELIVERED
2176042,68478064,1395,568,DELIVERED
2176046,68454488,,3771,CANCELLED
2176048,68470822,1113,3421,DELIVERED
2176049,68472872,5435,1694,DELIVERED
2176050,68475082,28913,1562,DELIVERED
2176051,68475999,12023,867,DELIVERED
2176052,68466754,17227,5508,DELIVERED
2176053,68474719,28913,1971,DELIVERED
2176056,68478454,31061,4518,DELIVERED
2176057,68476173,31132,4683,DELIVERED
2176058,68476080,9043,2365,DELIVERED
2176059,68479925,2473,1221,DELIVERED
2176063,68475894,7258,1487,DELIVERED
2176066,68477593,2061,975,DELIVERED
2176068,68479590,2905,822,DELIVERED
2176069,68471507,17322,1959,DELIVERED
2176072,68476555,358,2311,DELIVERED
2176073,68476859,7280,975,DELIVERED
2176074,68479631,7258,1232,DELIVERED
2176075,68469938,,573,DELIVERED
2176076,68463065,,3121,CANCELLED
2176079,68454515,11263,4259,DELIVERED
2176082,68474853,357,3653,DELIVERED
2176086,68464291,8378,4602,DELIVERED
2176088,68480496,9043,3240,DELIVERED
2176089,68479787,5052,2084,DELIVERED
2176091,68475736,6656,4026,DELIVERED
2176096,68461637,11263,722,DELIVERED
2176097,68468523,25651,2868,DELIVERED
2176098,68455763,,2849,CANCELLED
2176099,68461215,15061,2884,DELIVERED
2176101,68460278,11869,4718,DELIVERED
2176102,68479078,6974,1564,DELIVERED
2176103,68461004,15061,3975,DELIVERED
2176104,68481257,28169,400,DELIVERED
2176105,68482225,7655,1211,DELIVERED
2176106,68471785,23092,1185,DELIVERED
2176109,68483068,,1047,CANCELLED
2176115,68465137,,1555,CANCELLED
2176116,68479233,9996,1463,DELIVERED
2176119,68477372,25651,230,DELIVERED
2176121,68480601,24997,176,DELIVERED
2176123,68467005,9509,1491,DELIVERED
2176126,68477798,7468,2465,DELIVERED
2176127,68482996,31055,1248,DELIVERED
2176130,68464984,,1066,CANCELLED
2176132,68482005,23399,2688,DELIVERED
2176133,68479592,888,2582,DELIVERED
2176139,68475405,,4207,CANCELLED
2176140,68484295,17703,1177,DELIVERED
2176141,68482706,28165,6370,DELIVERED
2176146,68467008,29186,1219,DELIVERED
2176147,68483938,2355,2657,DELIVERED
2176150,68482136,5226,437,DELIVERED
2176152,68481970,13117,1463,DELIVERED
2176156,68477372,25651,230,DELIVERED
2176163,68482866,22217,1619,DELIVERED
2176165,68475996,1395,4076,DELIVERED
2176167,68484269,25409,486,DELIVERED
2176169,68477258,16430,3982,DELIVERED
2176171,68480121,16430,4867,DELIVERED
2176183,68483840,5226,1208,DELIVERED
2176184,68482388,25651,782,DELIVERED
2176186,68486130,5628,2097,DELIVERED
2176187,68484572,5435,1678,DELIVERED
2176189,68482388,17227,782,DELIVERED
2176192,68484730,7280,487,DELIVERED
2176193,68471498,,625,DELIVERED
2176194,68471445,,2680,DELIVERED
2176196,68486197,8958,4566,DELIVERED
2176197,68485923,8266,2748,DELIVERED
2176200,68483713,5052,3143,DELIVERED
2176203,68483169,12023,1130,DELIVERED
2176204,68484186,6675,1309,DELIVERED
2176205,68482359,25092,2409,DELIVERED
2176207,68484313,20223,1632,DELIVERED
2176209,68484423,28913,3977,DELIVERED
2176212,68484573,7468,4672,DELIVERED
2176213,68484314,14702,3080,DELIVERED
2176214,68465031,,1680,CANCELLED
2176216,68473855,19215,1084,DELIVERED
2176227,68444591,26879,4348,DELIVERED
2176230,68484842,358,3462,DELIVERED
2176231,68486448,25651,2150,DELIVERED
2176233,68487124,23399,3134,DELIVERED
2176235,68486448,23399,2150,DELIVERED
2176236,68476278,4190,4376,DELIVERED
2176237,68475901,7615,1909,DELIVERED
2176238,68475271,4190,3522,DELIVERED
2176241,68487327,17322,472,DELIVERED
2176245,68483781,25651,4074,DELIVERED
2176247,68487304,17322,445,DELIVERED
2176248,68488826,28169,5053,DELIVERED
2176249,68483781,9043,4074,DELIVERED
2176250,68489753,24715,1926,DELIVERED
2176252,68482225,14059,1211,DELIVERED
2176255,68488583,17227,3626,DELIVERED
2176256,68488447,9043,2430,DELIVERED
2176260,68484921,2905,1283,DELIVERED
2176261,68487317,3834,1065,DELIVERED
2176263,68479509,7953,2461,DELIVERED
2176266,68489350,2837,1403,DELIVERED
2176269,68481478,14382,3165,DELIVERED
2176271,68465795,4977,383,DELIVERED
2176272,68483086,14382,2420,DELIVERED
2176274,68467873,26588,937,DELIVERED
2176275,68476139,29669,1152,DELIVERED
2176276,68466804,,2261,CANCELLED
2176281,68487049,29815,1519,DELIVERED
2176284,68488118,430,245,DELIVERED
2176285,68491371,14382,2728,DELIVERED
2176291,68490751,7953,1275,DELIVERED
2176294,68492000,17907,4959,DELIVERED
2176299,68490898,28165,1913,DELIVERED
2176301,68490264,17289,5834,DELIVERED
2176302,68475901,20495,1909,DELIVERED
2176303,68461493,,4793,CANCELLED
2176304,68493359,2490,2639,DELIVERED
2176307,68490127,731,1847,DELIVERED
2176308,68494786,15231,1081,DELIVERED
2176309,68482035,7953,787,DELIVERED
2176311,68467601,,1970,CANCELLED
2176312,68494630,1113,2383,DELIVERED
2176313,68490282,24550,2394,DELIVERED
2176315,68483843,26223,3509,DELIVERED
